Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	985.5219125747681	5.083518705121145	dynamic_pitod	16.384998	14.255733	132.62253	2.3288743	21.433475	64.96717	2.6015644	69.67266	60.405712	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.009001	14.2168455	67.21604	-0.9169317	20.681578	17.42893	82.19611	-0.36088923	0.015129608	0.08977333	0.4654376	-0.1833047	-20.666449	17.407078	0.24515434	-82.09295	20.667797	17.405476	82.09295	0.035681427	0.8257301	0.29941845	1.0142422	0.0035681427	730.10846	1147.0797	6739.252	0.0012731642	20.112299	17.892603	81.98991	0.00012731642
1	9999	1243.1214628219604	8.0569124013097	dynamic_pitod	146.74808	82.106804	255.77527	9.90391	77.234375	189.10016	1.3252853	190.98705	187.57368	85.6	90.40939	49.61183	182.79744	-19.321661	7.4578	8.652492	-0.7325848	1.9803342	16.949957	-11.278673	-95.02915	0.5514792	0.20278555	0.99970007	0.28409794	-0.94868016	0.83302855	0.63127077	5.3933735	3.0640513e-07	83.399284	38.965015	138.80742	1.317148	93.853516	44.434853	157.82599	1.317148	83.95107	12.874385	91.43725	1.8440573	-9.902448	40.015938	83.95957	-73.3151	35.41955	21.090025	83.95957	0.06394546	0.72264385	1.3281868	8.395957	0.00073525007	1699.3339	1630.9307	7049.2095	0.0040890216	38.768276	99.16422	704.92096	4.7499623e-05
2	14999	1499.0849108695984	10.01914523544224	dynamic_pitod	193.37306	76.1758	281.66208	6.521773	85.745766	265.64258	1.3615317	267.83325	264.22485	111.3	180.18256	53.18493	251.93518	-39.463165	10.440007	10.460519	0.8000819	2.5903037	20.597624	-12.80593	-186.56523	0.21725674	0.025906505	0.2840486	0.1954001	-0.28249148	1.0074445	0.7524618	8.424851	5.9604645e-07	107.06885	44.611343	154.95802	2.3699925	114.775185	48.975155	169.4621	2.3699925	116.02231	37.340103	146.15222	8.337259	1.2471279	17.227009	36.910633	-30.247839	15.342566	7.9328966	36.910633	0.06321259	0.20209105	0.19974202	1.2870735	0.0009249352	298.3252	266.016	1362.3948	0.0039958316	3.818039	4.6851296	27.3171	0.00011491083
3	19999	1755.6728620529175	11.404318366635597	dynamic_pitod	272.5671	66.3241	368.7125	26.409159	111.88636	327.4099	1.6578757	329.89838	324.04913	122.4	154.39159	50.651707	257.1352	-52.13103	5.457881	14.709551	0.91961473	2.4712503	20.723541	-12.452648	-26.87402	0.1556115	0.015393757	0.19706471	0.130544	-0.14474526	0.94507176	0.73982066	6.624958	1.4901161e-07	133.40309	52.608986	186.41838	2.0841198	136.72098	56.056286	196.77943	2.0841198	143.60522	43.682446	176.0982	-17.31708	6.884243	23.943697	71.926476	-30.318247	19.28822	15.768893	71.926476	0.0020435152	0.2776992	0.41420528	3.3109488	1.1604272e-05	620.69336	964.6766	5173.418	4.1759545e-06	9.904679	20.55531	138.39998	2.3713506e-08
4	24999	2022.587060213089	12.37234306883573	dynamic_pitod	295.48486	97.45014	407.50018	8.0487	115.454544	408.9073	1.338283	411.12698	405.71463	147.3	206.79927	60.550457	262.16583	-48.213505	8.825759	12.628946	1.0567154	2.691795	22.190838	-12.672738	-142.84433	0.17493472	0.011426008	0.19322358	0.13932689	0.10515078	1.0012752	0.76161814	7.294837	3.5762787e-07	139.88542	55.112732	204.23053	2.7591524	144.51006	58.357952	213.69554	2.7591524	152.63956	48.118904	193.10742	7.3727837	8.129498	16.45626	46.832905	-24.698748	14.41092	11.367614	46.832905	0.018242555	0.18725502	0.2608202	2.0014515	9.982523e-05	336.89728	452.89386	2193.3208	0.0003327908	4.261325	6.7214694	50.376316	1.8210673e-06
5	29999	4520.257015705109	6.639656832898761	dynamic_pitod	334.10226	42.81196	442.60706	254.9324	137.83333	408.53247	2.3154993	412.7259	404.6858	159.1	203.96872	61.08052	266.8637	-54.728058	3.3094897	3.8902872	1.0200654	2.6910553	24.389568	-13.901831	-98.48559	0.17529598	0.009017443	0.19254822	0.15855323	0.0346705	0.9984881	0.7596856	7.097337	0.0	146.01224	51.87251	203.0924	3.496007	146.18448	54.940334	211.0734	3.496007	167.83018	49.320274	209.25748	22.981884	21.6457	19.490835	84.02144	-22.737274	22.343357	18.686983	84.02144	4.926187e-05	0.2833311	0.5124259	4.793756	2.509934e-07	848.42896	1160.1848	7059.602	2.426732e-09	10.826927	21.662407	229.80096	1.2364405e-11
6	34999	4773.305235862732	7.335443941689822	dynamic_pitod	339.6138	58.823017	431.2071	95.856186	141.88571	363.48514	2.392743	366.63513	359.46057	149.1	205.18385	63.630173	273.4747	-42.744476	2.9249935	3.5060346	0.9822756	2.6627166	22.652817	-12.1953125	-92.17552	0.18417202	0.010858046	0.20165396	0.16572618	-0.030415643	0.9928917	0.7607762	6.7570877	1.4901161e-08	130.36497	51.81633	190.08406	3.3363142	132.4807	56.6885	199.52145	3.3363142	172.04204	54.51797	219.28629	16.476267	39.56132	16.187584	91.7734	-0.64924514	39.562584	16.18449	91.7734	0.64924514	0.4495176	0.43879208	2.598009	0.021307025	1827.136	1416.8455	8422.357	0.42151928	21.082691	29.000135	219.86737	0.013833483
7	39999	5032.403083324432	7.951571944683735	dynamic_pitod	402.83408	60.685932	567.0134	307.82776	162.83333	524.806	2.0798404	529.0123	522.32605	188.3	204.08763	62.170647	272.2751	-54.583923	2.6498997	3.8883958	1.0107241	2.72389	22.634193	-12.832897	-93.39861	0.18198264	0.0040520527	0.19200495	0.16608042	0.01888803	1.0196397	0.7654963	6.893232	1.3038516e-07	172.95723	57.41777	232.01595	3.6968598	174.17397	61.399677	239.07123	3.6968598	172.05513	49.44719	216.97794	24.366295	-2.1188214	18.111378	56.343838	-34.019077	15.539398	9.54141	56.343838	0.034920994	0.15977067	0.41879606	5.6343837	0.0002201188	332.5114	404.4846	3174.628	0.0012194758	4.316507	18.365623	317.4628	7.686767e-06
8	44999	5288.586839437485	8.51202979749589	dynamic_pitod	454.13837	39.262085	511.61096	368.85748	176.75862	623.3675	2.3782284	628.2021	620.1207	214.9	203.31308	62.877174	272.86066	-39.402267	2.5447645	3.2545772	0.9648557	2.69845	23.266163	-12.706948	-102.290184	0.17529775	0.022406686	0.2030669	0.13615477	-0.06493608	0.99995834	0.76411754	14.095261	8.34465e-07	174.98912	60.085934	232.47156	3.5805306	174.61765	62.22007	237.65846	3.5805306	173.44427	51.96417	222.99548	12.049444	-1.1733683	15.422523	42.582287	-29.45954	13.460328	7.6190925	42.582287	0.040880427	0.12894553	0.22255212	2.4175804	0.00039905318	239.231	262.2791	1813.2512	0.0016712092	2.5512085	5.4774013	58.446945	2.1755857e-05
9	49999	5546.8227915763855	9.017341385043208	dynamic_pitod	445.03485	168.57076	734.06006	45.247135	162.45161	714.76465	3.5120904	720.96954	710.42944	237.9	193.77666	61.326286	263.3924	-40.7588	2.4310446	3.5974658	1.0192971	2.6473553	22.36225	-13.231302	-100.092964	0.1574278	0.007327479	0.16626891	0.136933	0.03706781	0.99755675	0.76255864	7.394451	3.46452e-07	207.49284	62.277798	259.4362	4.6204686	205.23834	62.61952	258.02148	4.6204686	166.75084	51.47379	219.92236	6.3128877	-38.487488	17.699785	13.50826	-72.37384	38.727757	17.167696	72.37384	0.42365295	0.19458535	0.09193036	1.3508259	0.017043365	1794.5693	1348.026	5237.973	0.17948182	8.054195	5.1385984	20.598011	0.0072204717
