Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	492.6000247001648	10.184553960467774	dynamic_pitod	16.384998	14.255733	132.62253	2.3288743	21.433475	64.96717	2.6015644	69.67266	60.405712	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.009001	14.2168455	67.21604	-0.9169317	20.681578	17.42893	82.19611	-0.36088923	0.015129608	0.08977333	0.4654376	-0.1833047	-20.666449	17.407078	0.24515434	-82.09295	20.667797	17.405476	82.09295	0.035681427	0.8257301	0.29941845	1.0142422	0.0035681427	730.10846	1147.0797	6739.252	0.0012731642	20.112299	17.892603	81.98991	0.00012731642
1	9999	739.7834565639496	13.547878477463186	dynamic_pitod	140.25204	92.59512	378.38144	10.413903	75.545456	288.45352	1.7478361	291.1452	286.09558	114.8	89.08048	48.375324	179.46727	-40.216972	6.815678	6.6301026	-0.7399689	1.9692824	14.923168	-11.863018	-93.62813	0.55057657	0.20250873	0.99970007	0.28641415	-0.94902647	0.84300506	0.6352152	6.4979877	5.364418e-07	96.959785	47.300583	154.78023	1.0386399	107.94651	53.64691	178.82837	1.0386399	78.020004	17.136093	90.16853	10.477829	-29.926506	44.963173	82.39568	-94.75373	45.49107	29.117785	94.75373	0.13740678	0.7334693	1.3888255	8.239569	0.0024914087	2917.283	2727.7554	8978.27	0.018880624	44.284195	101.576866	678.9049	0.00054645503
2	14999	990.1030225753784	15.175389222722115	dynamic_pitod	242.65631	80.30561	304.07938	8.832475	101.04082	227.00671	1.4646312	229.64592	224.78444	111.2	175.46533	50.963833	245.8295	-48.75074	10.446458	12.641799	0.7075783	2.6164458	19.809753	-11.854864	-176.76877	0.1990807	0.03828925	0.28636783	0.15917231	-0.4351436	0.98685807	0.73454314	6.2269297	9.3877316e-07	91.590164	38.21737	141.2132	2.792473	99.154915	42.857662	156.11176	2.792473	131.22449	18.438005	149.1605	47.32539	32.069576	26.8686	93.64143	-10.870758	32.994835	25.723925	93.64143	0.03770814	0.8497563	1.5564415	9.364143	0.0002589106	1750.3792	2041.2792	8768.718	0.001421904	56.137684	123.774124	876.8718	9.763037e-06
3	19999	1242.1258957386017	16.122980992184047	dynamic_pitod	265.8936	83.073784	342.33075	11.389404	116.51163	333.33063	1.7624196	335.93246	329.22803	142.9	194.78757	60.30216	252.4783	-51.877064	5.646177	5.94236	1.0002086	2.698111	23.290947	-15.327004	-120.45767	0.17071861	0.009389738	0.1919059	0.15764928	0.0003803772	1.0227121	0.7596083	6.7646446	1.1920929e-07	120.841736	46.27492	168.09088	2.9190185	131.91113	51.781506	187.20277	2.9190185	122.16849	44.02474	162.13742	-3.244983	-9.742662	11.873195	14.174928	-39.953148	11.831154	9.7936735	39.953148	0.03811565	0.09826556	0.101561435	1.3254018	0.00034363588	235.89224	287.99927	1596.2539	0.0014528028	1.5547644	1.7438734	18.284475	1.3097905e-05
4	24999	1495.962890625	16.73021483043232	dynamic_pitod	322.86118	55.696003	373.36197	10.86373	147.88235	334.1666	1.9708133	336.98267	332.1016	141.8	190.2107	55.1657	251.25102	-47.49638	3.5500116	3.9344368	0.98310995	2.7181098	22.496258	-14.615725	-104.497116	0.15630561	0.0105796	0.1737716	0.13651593	-0.032223668	0.99390525	0.7609089	7.4836516	1.1920929e-07	120.30031	47.39803	169.82721	2.440468	129.28407	52.466026	186.89845	2.440468	131.94975	49.518814	174.66148	-5.5473027	2.665692	11.4746685	30.237244	-22.082296	9.582218	6.8523736	30.237244	0.018568436	0.095457464	0.113630064	1.0639108	0.00011632395	138.77393	169.4627	914.29095	0.00034478682	1.2260092	1.6753799	11.319062	2.159954e-06
5	29999	1747.9127945899963	17.17964814454476	dynamic_pitod	336.5652	26.178862	377.37454	223.99254	153.15625	205.95029	2.1257205	210.17593	203.0163	100.2	180.74525	58.656418	250.78409	-58.594963	2.6318634	3.2626994	0.99728525	2.6617935	22.397194	-13.276287	-97.10725	0.15364017	0.008518292	0.16903219	0.13376512	-0.0053540664	0.9754076	0.75947344	7.59179	0.0	104.301384	46.457935	166.26128	1.7315134	113.15608	51.47536	182.77087	1.7315134	148.94151	44.029297	185.7338	5.8663344	35.78543	37.920803	177.99815	-15.772499	36.307796	37.420956	177.99815	0.0047944714	0.8770321	2.29339	17.799814	2.649127e-05	2718.5842	4626.71	31683.342	2.2986955e-05	94.01186	331.4021	3168.3342	1.2701163e-07
6	34999	2001.9903409481049	17.49711436595225	dynamic_pitod	334.15097	57.866962	378.2987	47.42854	154.0303	360.16412	2.5454345	363.95297	356.54654	162.1	174.416	57.47069	242.12358	-56.578514	1.4512213	2.1913362	0.98545605	2.6072142	22.75105	-12.8142	-63.141327	0.1386447	0.009034355	0.15026453	0.11694011	-0.030310107	0.9715321	0.7518695	7.514743	8.6426735e-07	114.16112	50.215088	165.85217	1.6389321	121.415665	54.4815	179.43065	1.6389321	142.09317	47.661327	183.91693	10.26601	20.677498	37.286194	179.41548	-7.2671127	20.700108	37.27365	179.41548	0.09866499	0.6667602	2.3356953	17.941547	0.0019984648	1817.8193	6145.249	32189.914	0.0097347805	87.96069	396.1748	3218.9915	0.00027885693
7	39999	2251.9153859615326	17.775764081214785	dynamic_pitod	320.12262	81.469795	384.60007	47.88544	142.91429	348.8643	1.0240185	350.16214	347.30872	146.6	165.8923	51.813873	230.19125	-41.601307	1.4784241	3.0776222	0.9781058	2.678233	24.906654	-13.048977	-67.25582	0.11190674	0.008614298	0.12662914	0.097608864	-0.04845239	0.97385657	0.75740546	7.0504165	1.1920929e-07	124.59174	49.751026	175.40103	1.684762	131.75508	53.395058	188.56377	1.684762	136.32271	50.2003	182.58951	3.3181968	4.56762	19.268772	172.98767	-38.50036	7.0283685	18.51353	172.98767	0.010829299	0.2587277	1.7509351	17.298767	7.175023e-05	392.1488	3105.971	29924.734	0.00011727371	33.44636	293.39206	2992.4734	7.770047e-07
8	44999	2504.487462043762	17.979668856930772	dynamic_pitod	402.77246	90.52435	567.7137	101.33301	168.72414	484.97754	1.8328804	488.1229	482.1076	164.9	164.11893	52.47871	230.74438	-42.54171	1.8879516	3.2517385	1.044465	2.5941687	24.556593	-13.116913	-83.65772	0.12835824	0.0105765425	0.14684312	0.100465514	0.095673546	0.97093236	0.7615866	6.812213	5.066395e-07	175.52611	60.904015	232.76897	3.7184799	172.73187	61.626076	235.01097	3.7184799	150.73119	38.52022	189.38318	15.220734	-22.00069	27.363081	58.224762	-62.78229	31.156136	16.188387	62.78229	0.06807713	0.28568262	0.5685377	5.6957912	0.00060962094	1232.7686	933.6804	3941.616	0.0046344963	11.285335	26.364487	324.4204	4.1501247e-05
9	49999	2757.1273744106293	18.145745270815755	dynamic_pitod	296.29126	214.42177	699.0044	11.04682	111.32609	79.3384	3.3921835	82.82305	72.13987	47.8	182.45093	53.878685	262.8454	-49.859245	2.3879921	3.681646	1.0297079	2.6430986	22.459188	-11.969484	-77.24475	0.15527113	0.0076961834	0.17271459	0.13691011	0.055687916	0.9810373	0.7572692	7.2484565	4.172325e-07	90.50415	75.69768	248.71626	2.1511817	86.57188	71.77536	239.24582	2.1511817	185.22832	21.887955	206.53119	42.94361	98.65643	75.26555	197.03635	-70.305176	107.49229	61.995186	197.03635	0.08396302	3.8218784	4.752518	19.703636	0.00042095772	15397.993	11875.566	38823.324	0.0070497887	620.2797	870.0936	3882.3325	3.534488e-05
