Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	DynPIToD/ScoreMean	DynPIToD/ScoreMin	DynPIToD/ScoreMax	DynPIToD/ScoreStd	DynPIToD/Epsilon	DynPIToD/MeanStrikes	DynPIToD/NumEvicted	DynPIToD/NewlyEvicted	DynPIToD/NumActive	DynPIToD/BufferActiveFrac	DynPIToD/GroupAgeMean	DynPIToD/GroupAgeMax	DynPIToD/NumRefreshed	DynPIToD/RefreshWallclock	DynPIToD/ScheduleK	DynPIToD/ScheduleB	DynPIToD/PruningEnabled	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	1085.9234204292297	4.615712562025448	dynamic_pitod	16.384998	14.255733	132.62253	2.3288743	21.433475	64.96717	2.6015644	69.67266	60.405712	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5000.0	16.0	0.0	15.009001	14.2168455	67.21604	-0.9169317	20.681578	17.42893	82.19611	-0.36088923	0.015129608	0.08977333	0.4654376	-0.1833047	-20.666449	17.407078	0.24515434	-82.09295	20.667797	17.405476	82.09295	0.035681427	0.8257301	0.29941845	1.0142422	0.0035681427	730.10846	1147.0797	6739.252	0.0012731642	20.112299	17.892603	81.98991	0.00012731642
1	9999	1395.2867465019226	7.180711293378435	dynamic_pitod	173.53906	84.10551	314.24908	11.10802	89.61818	288.03525	1.6565824	290.56406	285.02335	112.0	88.56001	48.421787	174.57309	-19.989063	4.9871745	4.9435005	-0.7151842	2.0067484	16.023174	-10.774378	-92.77392	0.55208623	0.20218034	0.99970007	0.28755578	-0.92883563	0.84427613	0.636801	6.8491426	2.3841858e-07	5.1610994	5.1610994	5.1610994	0.0	5.1610994	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.042664766	5000.0	16.0	0.0	113.695366	46.33118	170.38707	1.4731742	126.7628	52.793606	191.9413	1.4731742	69.83033	21.013195	87.445206	-0.5346672	-56.93247	35.55627	81.4095	-107.47081	59.124065	31.778913	107.47081	0.1996814	0.49608216	0.7029351	8.140949	0.005387821	4505.5547	3390.8423	11549.975	0.03987266	33.967476	54.579735	662.7506	0.0010758475
2	14999	1702.7726464271545	8.82298137800309	dynamic_pitod	257.70407	149.15913	554.63196	7.0256405	113.431816	411.1089	1.602475	413.51376	408.18298	164.4	166.78703	50.697548	233.28333	-38.300903	8.272058	7.459784	0.7214747	2.6035876	20.519264	-11.645771	-170.69044	0.20083733	0.035608403	0.28749615	0.1670098	-0.40781617	1.0057386	0.7375991	6.7000704	4.4703484e-07	24937.527	24083.273	25791.781	854.2539	24083.273	0.0	0.0	0.0	2.0	1.0	2501.0	5001.0	2.0	0.13521576	5000.0	16.0	0.0	136.14311	50.749245	197.80821	3.4001505	143.92482	55.34381	210.79095	3.4001505	117.78923	25.364779	136.37915	24.912125	-26.135592	36.72258	49.900593	-84.16713	40.344234	20.098753	84.16713	0.039623074	0.37941435	0.49551335	4.3382835	0.00031259682	2031.6168	1655.3898	7084.1055	0.001569988	16.20822	19.058495	188.20705	1.2386047e-05
3	19999	2009.0042977333069	9.96841391884617	dynamic_pitod	302.50345	53.62202	410.9817	139.19225	139.97223	141.8569	2.073234	143.94907	138.14543	77.7	197.59357	63.768147	278.50763	-35.427147	6.2552385	7.477867	1.0240778	2.653911	22.08932	-13.537386	-138.35866	0.20288488	0.013474601	0.2208043	0.17414527	0.040191457	1.0198401	0.7546157	6.823593	3.874302e-07	20105.639	4612.162	27909.35	10955.64	9149.999	0.0	0.0	0.0	3.0	1.0	5001.0	10001.0	3.0	0.21976542	5000.0	16.0	0.0	146.8192	75.25531	256.66223	2.5184653	154.75127	77.55883	266.9053	2.5184653	155.69545	31.529808	178.01888	4.8924503	0.9441842	76.57231	158.41936	-105.16786	67.72681	35.739212	158.41936	0.013142528	1.0591055	2.2896373	15.841936	9.2210765e-05	5864.2104	5422.492	25096.695	0.00017272604	123.1723	342.90067	2509.6694	1.2118826e-06
4	24999	2314.717342376709	10.812913567659969	dynamic_pitod	357.84555	81.90241	496.2429	54.32735	142.48572	420.8436	1.3336892	423.9008	419.39536	152.5	212.58478	72.48672	292.7336	-37.504272	2.8583941	3.2556195	0.9985237	2.65668	21.736216	-11.351244	-77.70449	0.21530703	0.007922748	0.22810434	0.19941227	-0.0022700776	1.0074267	0.7602115	8.534814	9.797513e-07	19212.865	373.79065	37101.484	13696.268	5516.5977	0.0	0.0	0.0	4.0	1.0	7501.0	15001.0	4.0	0.17158246	5000.0	16.0	0.0	147.87733	57.22956	214.81322	2.9037068	155.72083	61.117462	225.3317	2.9037068	157.41576	55.368923	203.84726	1.8568707	1.6949131	18.61804	53.65826	-31.291483	14.711191	11.536246	53.65826	0.009879612	0.13352688	0.1564928	0.90079194	9.2349015e-05	349.50412	520.33716	2879.2087	9.760673e-05	3.4229226	6.817166	44.59125	1.3885416e-06
5	29999	2624.0572350025177	11.444309259100368	dynamic_pitod	533.0321	97.26417	724.5463	300.88843	183.37038	645.7763	3.0492907	649.83264	640.71625	205.6	214.50806	70.02907	292.38037	-66.79436	2.427945	2.7525985	0.9679194	2.6880987	23.283646	-12.892622	-82.89079	0.20016547	0.020837886	0.2310723	0.15652095	-0.055395015	0.9995709	0.763239	7.3064766	8.34465e-07	13670.123	381.3484	34121.17	12647.3125	1022.81055	0.0	0.0	0.0	5.0	1.0	10001.0	20001.0	5.0	0.24306464	5000.0	16.0	0.0	194.10858	66.80494	261.81747	4.0424232	196.45033	68.97994	264.5097	4.0424232	165.60129	52.157818	214.34427	15.338435	-30.84905	19.028635	19.401857	-74.0813	32.058823	16.911083	74.0813	0.069737956	0.17604083	0.17589808	1.9401858	0.00053609826	1313.7528	1065.2423	5488.0386	0.004863383	6.0216804	4.6061416	37.643208	3.7386402e-05
6	34999	2930.3371226787567	11.954898977634697	dynamic_pitod	491.88434	93.05269	635.1832	95.85175	166.43333	635.52814	2.4376428	639.353	632.4878	202.1	198.18549	65.81776	274.50302	-43.246258	2.8050356	2.7831695	0.9921465	2.5771613	22.857166	-17.60324	-98.73923	0.16786872	0.016844766	0.20053264	0.14599638	-0.014823419	0.95726764	0.7558552	8.061843	1.527369e-07	4744.8193	406.4037	11198.461	4185.402	559.4175	0.0	0.0	0.0	6.0	1.0	12501.0	25001.0	6.0	0.3063662	5000.0	16.0	0.0	198.91887	70.67509	265.5238	3.9599838	200.45488	72.05732	268.60324	3.9599838	188.0054	50.311813	235.33386	17.290556	-12.449481	24.012575	51.021324	-46.865692	24.346909	11.782244	51.021324	0.03588163	0.20662884	0.40669456	4.3364573	0.00021680596	731.5933	531.7703	2603.1755	0.0012874915	6.3228574	15.029871	188.0486	7.779351e-06
7	39999	3239.9181871414185	12.356162174963204	dynamic_pitod	596.506	53.742336	711.0138	513.89606	193.42308	632.20605	2.4345512	636.2355	628.924	203.7	206.74078	62.936207	286.60632	-41.044323	2.3045714	2.1876793	1.0008445	2.5817313	24.642834	-11.26326	-104.35977	0.1527892	0.005085342	0.16201995	0.14581446	0.0017098496	0.97888	0.77024156	8.66725	6.2584877e-07	3278.4995	335.28506	6683.8076	2157.0625	1121.437	0.0	0.0	0.0	7.0	1.0	15001.0	30001.0	7.0	0.43867517	5000.0	16.0	0.0	198.83783	69.625626	267.39294	3.8772776	203.00302	71.62443	275.32855	3.8772776	202.35133	56.95336	246.84926	1.6783841	-0.65170765	20.220974	42.652843	-29.39794	18.370346	8.476018	42.652843	0.040456574	0.15624146	0.30189684	3.4432876	0.00017310881	409.31256	317.74496	1819.2651	0.0016367345	3.895748	9.578544	118.5623	7.00339e-06
8	44999	3547.5606546401978	12.694316109679654	dynamic_pitod	610.1807	37.68591	716.32684	575.1577	197.04	862.0368	6.5041413	875.76965	851.4611	257.4	209.95296	68.923996	293.36154	-36.85729	2.4424245	2.6934738	0.99437636	2.4725704	24.778746	-12.667465	-113.07368	0.14487275	0.003413424	0.15248726	0.13987242	-0.010801506	0.94564456	0.75803405	7.6827445	8.940697e-07	2385.9602	337.22678	4959.3193	1505.5972	880.36304	0.0	0.0	0.0	8.0	1.0	17501.0	35001.0	8.0	0.35764694	5000.0	16.0	0.0	218.65717	75.38043	299.48816	4.363159	220.40387	76.70747	302.42172	4.363159	218.09483	48.392975	263.18152	17.68134	-2.30902	35.64918	101.531136	-58.40118	29.675781	19.88828	101.531136	0.12264787	0.28300077	0.7286815	9.347265	0.0005188277	1276.1957	1731.456	10308.571	0.0150425	16.10866	59.280884	873.7137	6.363311e-05
9	49999	3855.1094255447388	12.97877945979132	dynamic_pitod	913.7694	300.39948	1959.8948	648.52814	282.77777	1047.9099	14.491639	1072.0696	1023.0177	317.0	220.65962	68.09312	300.45135	-46.684967	2.2430568	2.3776422	1.0026755	2.4359925	24.396023	-11.280478	-126.141525	0.14914314	0.004505363	0.15617481	0.14069135	0.0052747545	0.94521594	0.7597644	7.587291	0.0	1863.6881	364.2118	3418.993	1092.7285	770.9596	0.0	0.0	0.0	9.0	1.0	20001.0	40001.0	9.0	0.43772578	5000.0	16.0	0.0	224.05348	72.46145	298.34357	4.7336445	226.47755	73.77996	302.6913	4.7336445	223.75975	54.93987	266.17407	15.381383	-2.7178335	28.866005	98.04354	-48.475597	22.976622	17.683542	98.04354	0.060418375	0.18276186	0.45382598	6.9751825	0.00023281197	840.6329	1443.2025	9612.536	0.0036503798	8.015096	30.115906	486.5317	1.40661205e-05
10	54999	9086.939166784286	6.054420147021652	dynamic_pitod	1433.6691	394.84952	2026.989	934.9607	431.72726	3209.0923	3.1795576	3212.7878	3201.4702	1000.0	233.2753	69.84578	319.8393	-53.180042	2.2004457	3.4551563	0.996625	2.3769648	26.392363	-12.3456135	-132.55498	0.14945498	0.0065716184	0.161924	0.13705695	-0.006543737	0.91502213	0.74425834	7.7802467	3.427267e-07	1928.4735	364.2118	3418.993	1002.9727	925.5008	0.0	0.0	0.0	11.0	1.0	25000.0	50000.0	0.0	0.0	10000.0	16.0	1.0	300.01166	42.41608	335.25436	60.046383	301.2583	42.401253	338.36578	59.9769	267.86084	26.456757	284.69916	99.75161	-33.39749	19.875515	44.994797	-62.18406	35.931576	14.810483	62.18406	0.008170741	0.120474145	0.059940446	0.66316724	3.1170435e-05	1510.4286	921.7249	3866.8572	6.6761e-05	4.959816	3.175398	27.180387	2.5468555e-07
11	59999	9396.94736456871	6.386864984393491	dynamic_pitod	2030.9089	712.24524	3023.542	842.58655	644.25	2699.4353	1.2508392	2701.701	2697.7285	1000.0	245.0355	70.49446	328.18124	-48.669945	1.9879496	2.6630523	1.002592	2.3768408	26.276852	-13.514468	-121.81037	0.15339407	0.0069736517	0.16282248	0.13872857	0.0050726593	0.91513956	0.7466935	8.035526	2.9802322e-07	2165.7273	230.6217	3840.872	1038.7042	1127.0231	0.18181819	0.0	0.0	11.0	1.0	25001.0	50001.0	11.0	0.90597224	10000.0	16.0	1.0	289.5124	20.517141	320.46753	191.93028	295.76163	20.001293	329.1716	192.30817	288.14532	10.133563	301.09393	240.3173	-7.616304	17.675467	89.16157	-36.4136	14.961967	12.106596	89.16157	0.06441413	0.052626908	0.05419004	0.46363902	0.00022261898	370.4301	870.29254	7949.7847	0.00414918	1.429177	4.1250887	41.33878	1.4339807e-05
12	64999	9704.775521278381	6.6995746588859335	dynamic_pitod	2729.7551	466.15286	3098.3289	1810.9036	911.4	2899.942	0.5739543	2901.0076	2899.1592	1000.0	255.09108	72.92747	332.01767	-42.432636	1.9139558	3.198612	0.99219054	2.4157255	23.458355	-13.134482	-127.47398	0.14776726	0.014675429	0.1664313	0.12650156	-0.015992748	0.9223925	0.75161463	9.46329	0.0	1887.9264	224.4602	3840.872	1157.6709	730.2555	0.15384616	0.0	0.0	13.0	1.0	30000.0	60000.0	0.0	0.0	10000.0	16.0	1.0	293.54355	12.482779	307.06924	234.35167	300.1263	10.860251	311.98785	247.64206	293.4869	10.94532	304.21155	242.66943	-6.639404	3.2208214	2.1902437	-13.978428	6.704602	3.0828047	13.978428	0.0022996492	0.022333127	0.010349702	0.05001565	7.59855e-06	54.455368	41.53273	195.39644	5.288387e-06	0.18146452	0.1397659	0.64728993	1.7474001e-08
13	69999	10011.978336572647	6.993488160511348	dynamic_pitod	2903.2363	270.87323	3266.3496	2480.2046	912.5	3078.692	0.91079926	3080.144	3076.9468	1000.0	262.50403	74.29139	336.72577	-78.62949	1.9308758	2.2210639	0.99548954	2.435992	23.641958	-13.235908	-150.28244	0.13749442	0.011592121	0.15479153	0.116824545	-0.010020514	0.9013665	0.7476039	9.157183	4.4703484e-07	1490.064	300.53687	3272.1108	840.5917	649.4723	0.30769232	0.0	0.0	13.0	1.0	30001.0	60001.0	13.0	0.6502578	10000.0	16.0	1.0	318.56888	16.022514	335.6795	249.50293	322.74036	14.1544075	338.99084	261.053	300.25452	12.453408	311.3547	244.16049	-22.485874	3.7162752	-15.491726	-33.800865	22.485874	3.7162752	33.800865	15.491726	0.06951715	0.009991466	0.09982712	0.048024572	519.42523	173.46933	1142.4985	239.99356	1.5992492	0.49774235	3.374243	0.74398345
