Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	1045.6667635440826	4.794054424835972	static_pitod	16.384998	14.255733	132.62253	2.3288743	21.433475	64.96717	2.6015644	69.67266	60.405712	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.009001	14.2168455	67.21604	-0.9169317	20.681578	17.42893	82.19611	-0.36088923	0.015129608	0.08977333	0.4654376	-0.1833047	-20.666449	17.407078	0.24515434	-82.09295	20.667797	17.405476	82.09295	0.035681427	0.8257301	0.29941845	1.0142422	0.0035681427	730.10846	1147.0797	6739.252	0.0012731642	20.112299	17.892603	81.98991	0.00012731642
1	9999	1253.0819551944733	7.997608674003108	static_pitod	141.89621	85.20397	249.55193	7.266088	74.402985	203.37848	0.74263716	204.98354	202.70131	90.2	89.06313	48.564762	177.67459	-38.03491	7.4306345	7.4835973	-0.70840824	2.000019	17.272398	-14.403885	-93.66785	0.55233455	0.20152788	0.99970007	0.28898838	-0.9190741	0.83880866	0.63653874	7.895965	2.3841858e-07	91.13163	39.924038	143.75764	2.2715135	102.86981	46.22571	166.1561	2.2715135	75.159134	21.325668	88.332184	-0.92482984	-27.710678	33.234756	82.891106	-81.86428	35.41271	24.867062	82.891106	0.054574143	0.3641096	0.5613442	8.289111	0.0009425059	1872.4308	1912.5702	6870.9355	0.002978337	17.53697	42.977993	687.09357	7.7480785e-05
2	14999	1468.6269476413727	10.232490692514476	static_pitod	229.72618	75.64325	309.40445	8.233593	107.21739	280.7584	2.598883	283.79037	275.38553	139.0	169.76576	46.414818	223.19002	-45.368225	9.046623	7.850324	0.6810046	2.6059005	22.052248	-12.344578	-175.53525	0.19735792	0.044691976	0.28895062	0.1346197	-0.4903049	1.002508	0.74245805	6.415969	1.1920929e-07	107.7105	40.106308	159.13528	2.7071207	116.94836	44.812557	175.64734	2.7071207	108.07853	27.628351	132.71892	22.868359	-8.869829	21.834316	44.692955	-44.5566	20.39565	11.80799	44.692955	0.04966143	0.28629646	0.49483687	4.0010295	0.00041737655	555.41125	523.16785	1997.4603	0.0024662577	7.9679604	16.449778	160.08235	2.0727517e-05
3	19999	1675.0276365280151	11.959437589762116	static_pitod	269.76904	63.028965	342.43182	22.053513	116.23256	333.35965	3.154738	338.28192	327.72717	132.0	170.57434	51.860355	226.63493	-53.673138	6.506559	7.55076	1.0015408	2.6445694	22.509554	-14.801204	-175.21634	0.13533571	0.0035518939	0.14437053	0.12972282	0.0031840384	0.9844332	0.7416416	6.736126	0.0	119.4544	54.513542	178.93994	1.5220289	122.224594	57.969353	185.28494	1.5220289	113.94078	36.179195	151.58733	13.013048	-8.2838	32.86746	136.99548	-69.269295	25.48345	22.349157	136.99548	0.0014368492	0.6009711	1.7386734	13.645623	2.1633221e-05	1148.8911	2951.8464	18767.764	2.0645357e-06	47.55318	220.4496	1862.0303	3.1083676e-08
4	24999	1878.6046302318573	13.32696173392796	static_pitod	321.3907	87.957	461.123	13.155616	129.58974	364.09976	2.7658072	367.9544	359.4141	141.7	165.49388	49.91735	225.87576	-37.081123	6.086472	7.743901	1.0111037	2.6636088	22.937824	-11.998613	-169.40349	0.14102075	0.0021537438	0.14904778	0.1368391	0.021702947	0.9915698	0.75336653	6.780222	4.172325e-07	132.56215	52.080544	197.10587	2.5002413	137.94022	56.10997	205.8595	2.5002413	143.94498	40.320858	177.40047	8.320608	6.004751	22.926023	84.639824	-37.489647	19.342365	13.694252	84.639824	0.04279919	0.30017853	0.65636903	6.2318215	0.00024526473	561.6596	861.74457	7163.8994	0.0018317706	11.621927	39.499073	462.2662	1.0497131e-05
5	29999	2081.7153804302216	14.42996454876264	static_pitod	427.0378	100.80195	583.18524	162.57501	152.18182	472.03778	1.6278543	474.65274	469.61148	156.4	177.91377	49.643692	256.5748	-41.31409	6.2501197	7.0321755	1.0133411	2.6490157	23.39566	-12.007662	-181.57501	0.15874302	0.004644053	0.16731282	0.14907496	0.024757199	0.96005976	0.7450867	7.024131	3.7252903e-08	163.1999	61.194233	227.00496	3.3068147	159.80058	62.263245	225.33652	3.3068147	173.88687	43.395638	212.18204	22.098677	14.0862875	36.647377	181.53648	-22.101675	23.893545	31.153687	181.53648	0.007073026	0.39158937	1.3316852	18.153648	3.8745613e-05	1541.4537	4491.5596	32955.492	5.00277e-05	37.712578	225.36765	3295.5493	2.7404872e-07
6	34999	2287.2058115005493	15.320655067506683	static_pitod	415.146	170.20467	619.76337	12.390873	144.67647	640.9242	1.6033399	643.23694	637.66003	211.3	197.209	54.976	277.1341	-38.558334	8.181631	12.943278	1.0127665	2.5557303	24.524395	-12.369574	-200.94904	0.17808354	0.0048328796	0.18429843	0.16599156	0.022330677	0.94528466	0.74042004	8.464176	9.834766e-07	207.79785	69.519554	275.47583	2.8105624	201.46129	69.952385	273.56665	2.8105624	208.1821	45.679802	235.72922	-5.5711937	6.720831	41.163692	129.92068	-49.15836	32.36464	26.308731	129.92068	0.166967	0.2719342	0.44208172	4.5155783	0.0007513365	1739.6191	2860.9185	16879.385	0.027877983	16.99316	36.93133	209.76524	0.00012544841
7	39999	2491.5684466362	16.07161348877478	static_pitod	474.8287	111.399	623.37616	188.74889	161.96774	600.996	2.1529171	605.03674	597.66077	199.0	207.32816	59.18075	283.56992	-38.572704	9.63714	16.25557	1.0091832	2.576771	22.91896	-13.918661	-210.85295	0.18254307	0.011817197	0.1988746	0.16603208	0.015250572	0.9559052	0.7534457	6.989278	1.2144446e-06	191.79573	63.035046	252.83224	3.3013918	187.73352	63.773983	251.66438	3.3013918	209.00839	52.169952	247.50052	-14.455847	21.274885	23.195377	97.15425	-18.266706	22.746822	21.753813	97.15425	0.030895716	0.2136189	0.3194949	3.559206	0.00013095206	990.6464	1677.311	9438.948	0.00095454516	9.749796	18.894016	126.67948	4.045857e-06
8	44999	2697.7206206321716	16.69751113707741	static_pitod	528.01996	122.10041	690.8405	276.02274	185.85185	567.76996	4.480413	573.1719	558.4115	185.2	211.1659	63.129684	289.60455	-88.81462	9.044548	12.387345	1.0004513	2.548915	21.870007	-12.092702	-214.5704	0.19983648	0.0031580045	0.2057023	0.19355036	0.0007894867	0.96367604	0.75091213	6.926315	8.6426735e-07	197.3262	66.0075	261.85028	3.0830874	192.72456	66.20276	258.10953	3.0830874	217.73003	56.412025	260.1233	-0.020610452	25.005453	23.924395	93.27465	-15.056583	25.400682	23.504358	93.27465	0.013919152	0.2114059	0.2766735	1.930298	5.8528523e-05	1197.6494	1838.8035	8700.16	0.0001937428	10.346404	18.514647	122.31583	8.1466743e-07
9	49999	2906.371957540512	17.21962459109325	static_pitod	560.9491	58.84217	633.2566	350.01974	188.15384	547.4277	3.5530186	553.36194	542.64545	183.2	218.5366	64.03293	290.41934	-53.528973	7.934536	10.369602	0.99324834	2.5973144	22.006989	-14.448658	-221.89047	0.1963285	0.005416498	0.20688039	0.18717667	-0.011030461	0.9590497	0.7576574	7.1864023	6.2584877e-07	191.44382	65.282036	252.09962	3.8643749	184.95488	65.31675	248.63847	3.8643749	226.77863	59.35967	268.34204	-6.34708	41.82374	23.781267	112.99039	-10.793342	41.867573	23.704018	112.99039	0.42083156	0.3254829	0.30988097	1.9605274	0.020559395	2314.774	2378.629	12766.827	0.1770992	18.238348	24.05686	133.08038	0.01770992
